Name;Exchange Score;Volume(24h);Avg. Liquidity;Weekly Visits;XEM Listed;XYM Listed;Blockers
BQT;2.8;110880;null;256;0;0;null
Mercatox;2.8;2520118;287;64151;0;0;null
BTC Trade UA;2.8;31071;213;17923;1;0;null
FarhadMarket;2.8;259710;168;1417;0;0;null
KyberSwap (Polygon);2.8;12653878;null;null;0;0;null
COSS;2.8;106982;164;2511;0;0;null
Bilaxy;2.8;397980;370;94963;0;0;null
TOKOK;2.8;29642633;275;4321;0;0;null
Exnomy;2.8;166013;null;207;0;0;null
KuSwap;2.8;87066;null;11619;0;0;null
Paraswap;2.7;764805;null;296627;0;0;null
StakeCube;2.7;6575;189;304400;0;0;null
BTC-exchange;2.7;83149;185;2544;0;0;null
Cryptonex;2.7;13185575;150;379;0;0;null
Ripio;2.7;45214;null;19285;0;0;null
Bittylicious;2.7;43063;null;4527;0;0;null
CoinField;2.7;10176635;294;18787;0;0;null
RippleFox;2.7;3167;null;225;0;0;null
OMGFIN;2.7;5757702;283;5591;0;0;null
Venus;2.7;25802;null;87349;0;0;null
Virtuse Exchange;2.7;1324170;133;466;0;0;null
CBX;2.7;439039414;279;608;0;0;null
Huckleberry;2.6;8120;null;16668;0;0;null
KyberSwap (Avalanche);2.6;755447;null;null;0;0;null
Koinim;2.6;591;null;9100;0;0;null
Beaxy;2.6;1185;181;1929;0;0;null
qTrade;2.6;2278;null;18034;0;0;null
Coingi;2.6;263;182;589;0;0;null
Xcalibra;2.6;1330;null;384;0;0;null
Kwikswap;2.6;510;null;3131;0;0;null
ACDX;2.6;456;null;1679;0;0;null
Aryana;2.6;30147523;102;395;0;0;null
ISX;2.5;10165;null;null;0;0;null
BiONE;2.5;36645620;289;27;0;0;null
Coinbit;2.5;0;null;21465;0;0;null
BitTurk;2.5;111069;100;4052;1;0;null
ABCC;2.5;35261046;219;2659;0;0;null
BW.com;2.5;4268797;205;30608;0;0;null
Ecxx;2.4;54800444;234;347;0;0;null
Graviex;2.4;141346;105;88708;0;0;null
Jubi;2.3;49777060;152;7157;0;0;null
Mexo Exchange;2.3;11563428;169;7704;0;0;null
Tidex;2.2;151703;249;8530;0;0;null
Flybit;2.2;183897;22;7267;0;0;null
Bitsten;2.1;788383;40;356;0;0;null
SafeTrade;2;322861;45;11395;0;0;null
BitUBU;2;437917;176;620;0;0;null
Bgogo;2;2802438;2;1103;0;0;null
VCC Exchange;2;89876430;null;1775;0;0;null
FOBLGATE;2;559354;178;3679;1;1;null
DragonEX;2;41747109;76;8473;1;0;null
STEX;1.9;2363400;106;22042;0;0;null
Tokenomy;1.9;1807;27;1450;0;0;null
OceanEx;1.9;8960369;90;14296;0;0;null
Exrates;1.9;2407526;null;3988;1;0;null
Chiliz;1.9;1541007;148;93440;0;0;null
WBF Exchange;1.9;21756;164;927;0;0;null
ATAIX;1.8;11215846;57;18120;0;0;null
BITEXBOOK;1.8;890;7;12966;0;0;null
YunEx;1.8;1864313;null;412;0;0;null
RuDEX;1.6;483;142;595;0;0;null
Fatbtc;1.6;1544580;81;3980;0;0;null
Bits Blockchain;1.5;7676;null;188;0;0;null
SushiSwap (Celo);1.4;1111091;null;null;0;0;null
BITStorage;1.3;1309130;30;512;0;0;null
OTCBTC;1.3;1200;null;1264;0;0;null
Put on your metamask!!!;1.3;8544;null;null;0;0;null
SushiSwap (Harmony);1.3;52943;null;null;0;0;null
FreiExchange;1;9833;15;54055;0;0;null
Bleutrade;0.1;0;null;3509;0;0;null
itBit;0.1;0;null;310;0;0;null
Bitex.la;0.1;null;null;3568;0;0;null
BitMEX;0.1;0;null;996031;0;0;null
Heat Wallet;0.1;null;null;295;0;0;null
Gatehub;0.1;-1;null;31042;0;0;null
CryptoMarket;0.1;null;null;135685;0;0;null
TOPBTC;0.1;-1;null;466;0;0;null
CoinBene;0.1;null;null;17375;0;0;null
C-Patex;0.1;0;null;10622;0;0;null
CRXzone;0.1;-1;null;351;0;0;null
Bithesap;0.1;null;null;1624;0;0;null
IDCM;0.1;0;null;5642;0;0;null
Huobi Korea;0.1;-1258;null;1839;0;0;null
BHEX (BlueHelix Exchange);0.1;-1;null;942;0;0;null
VELIC;0.1;null;null;408;0;0;null
ZG.com;0.1;-1;null;42709;0;0;null
ChainX;0.1;0;null;318;0;0;null
Triv Pro;0.1;-1;62;4221;0;0;null
Deribit;0.1;0;null;130045;0;0;null
CITEX;0.1;0;null;1909;0;0;null
LOEx;0.1;0;null;207;0;0;null
CROSS exchange;0.1;null;5;16179;0;0;null
Serenity;0.1;null;null;317;0;0;null
BaseFEX;0.1;0;null;791;0;0;null
Bithumb Singapore;0.1;0;null;239;0;0;null
Prizmbit;0.1;0;null;4389;0;0;null
Crypterum;0.1;0;null;236;0;0;null
Bitribe;0.1;0;null;631;0;0;null
Bitcoiva;0.1;0;null;40772;0;0;null
Valuex;0.1;-24;null;378;0;0;null
Dsdaq;0.1;null;null;391;0;0;null
KULAP;0.1;null;null;880;0;0;null
Capital DEX;0.1;-1;null;179;0;0;null
Globe Derivative Exchange;0.1;0;null;5119;0;0;null
ApolloX;0.1;0;null;84912;0;0;null
MoonSwap(Moonriver);0.1;0;null;1146;0;0;null
Jswap;0.1;0;null;18924;0;0;null
KyberSwap (BSC);0.1;-1;null;null;0;0;null
BitCoke;0.1;-1;null;439;0;0;null
Kine Protocol (BSC);0.1;0;null;null;0;0;null
Kine Protocol (Polygon);0.1;0;null;null;0;0;null
Balancer (V2) (Arbitrum);0.1;0;null;null;0;0;null
